epoch,ner
0,46698.16256947176
1,34603.48347819619
2,34396.72430743186
3,29954.705133478332
4,27617.898494337234
5,23118.800900738854
6,21095.788486144866
7,14987.161926664567
8,13323.019445319327
9,10302.620418202037
10,8440.513456265391
11,7428.358507531225
12,6290.807734742743
13,6224.751067506843
14,4869.313038985449
15,4864.7342102189605
16,3923.754295080418
17,3171.617877343531
18,2916.942639315028
19,2763.3833873625067
20,2645.2995266498715
21,2438.914018967055
22,2246.8808246244716
23,2110.2101107892304
24,2112.806302407264
25,2041.8414206122075
26,1970.8123747536793
27,1715.13083257603
28,1702.7477270280929
29,1621.870453421124
30,1631.3880605638424
31,1739.2877918784377
32,1530.1080610484694
33,1311.1739171993213
34,1228.1004712916756
35,1170.3177357000943
36,1321.4032464594147
37,1441.09327696532
38,1091.4839721562519
39,971.395576394222
40,996.5026769255402
41,882.573734114036
42,865.8070542673368
43,846.0005846688183
44,819.6641068428462
45,804.5674711575791
46,762.0479602576827
47,758.6944205132415
48,849.646180755334
49,836.2929381677774
